"","Ticker","SharesOutstanding","SO_Units","PublicFloat","PF_Units","SharesSoldShort","SSS_Units","ChangefromLast","PercentofFloat","Shares_Outstanding","Public_Float","Shares_Sold_Short"
"475","CCU",NA,NA,NA,NA,1.72,"M",-1.61,NA,NA,NA,1720000
"476","CCX",NA,NA,68.93,"M",1.84,"M",152,2.68,NA,68930000,1840000
"477","CDAY",148.57,"M",131.32,"M",5.54,"M",6.45,4.22,148570000,131320000,5540000
"478","CDE",243.58,"M",240.1,"M",6.67,"M",36.72,2.78,243580000,240100000,6670000
"479","CDR",13.53,"M",11.57,"M",111997,NA,0.82,0.97,13530000,11570000,111997
"480","CDR.PRB",1.45,"M",NA,NA,4374,NA,108.68,NA,1450000,NA,4374
"481","CDR.PRC",NA,NA,NA,NA,11917,NA,14.32,NA,NA,NA,11917
"482","CE",114.17,"M",113.14,"M",1.22,"M",-7.81,1.08,114170000,113140000,1220000
"483","CEA",NA,NA,NA,NA,20801,NA,-3.61,NA,NA,NA,20801
"484","CEIX",34.03,"M",33.55,"M",2.5,"M",5.33,7.44,34030000,33550000,2500000
"485","CELG.RT",NA,NA,NA,NA,500,NA,-96.11,NA,NA,NA,500
"486","CELP",12.21,"M",4.35,"M",11918,NA,595.74,0.27,12210000,4350000,11918
"487","CEO",NA,NA,446.48,"M",49892,NA,-66.44,0.01,NA,446480000,49892
"488","CEPU",151.4,"M",NA,NA,381563,NA,-19.64,NA,151400000,NA,381563
"489","CEQP",73.53,"M",49.4,"M",2.97,"M",1.84,6,73530000,49400000,2970000
"490","CEQP.PR",71.26,"M",NA,NA,8398,NA,-46.69,NA,71260000,NA,8398
"491","CF",214,"M",212.51,"M",2.46,"M",-32.72,1.16,2.14e+08,212510000,2460000
"492","CFG",425.11,"M",424.68,"M",6.97,"M",1.98,1.64,425110000,424680000,6970000
"493","CFG.PRD",NA,NA,NA,NA,6046,NA,109.57,NA,NA,NA,6046
"494","CFG.PRE",NA,NA,NA,NA,127403,NA,-15.73,NA,NA,NA,127403
"495","CFR",63.01,"M",57.95,"M",2.3,"M",5.1,3.97,63010000,57950000,2300000
"496","CFR.PRB",6.15,"M",NA,NA,150318,NA,43.85,NA,6150000,NA,150318
"497","CFX",118.55,"M",99.88,"M",14.88,"M",-3.26,14.9,118550000,99880000,14880000
"498","CFXA",NA,NA,NA,NA,13605,NA,-6.83,NA,NA,NA,13605
"499","CGA",6.35,"M",4.4,"M",84128,NA,-21.93,1.91,6350000,4400000,84128
"500","CHCT",23.43,"M",22.47,"M",341689,NA,-8.46,1.52,23430000,22470000,341689
"501","CHD",248.45,"M",244.55,"M",4.64,"M",7.84,1.9,248450000,244550000,4640000
"502","CHE",15.95,"M",15.53,"M",179326,NA,14.11,1.15,15950000,15530000,179326
"503","CHGG",140.32,"M",135.8,"M",12.4,"M",-8.58,9.13,140320000,135800000,12400000
"504","CHH",55.46,"M",35.04,"M",1.41,"M",-14.23,4.01,55460000,35040000,1410000
"505","CHMI",17.08,"M",15.87,"M",268370,NA,-6.09,1.69,17080000,15870000,268370
"506","CHMI.PRA",NA,NA,NA,NA,6560,NA,-0.2,NA,NA,NA,6560
"507","CHMI.PRB",NA,NA,NA,NA,13850,NA,4.06,NA,NA,NA,13850
"508","CHRA",29.99,"M",8.9,"M",146434,NA,-35.53,1.65,29990000,8900000,146434
"509","CHS",119.92,"M",111.06,"M",10.09,"M",-3.71,9.09,119920000,111060000,10090000
"510","CHT",NA,NA,775.74,"M",563464,NA,3.7,0.07,NA,775740000,563464
"511","CHWY",95.31,"M",77.07,"M",10.45,"M",2.53,13.56,95310000,77070000,10450000
"512","CI",367.2,"M",355.84,"M",4.42,"M",-2.06,1.24,367200000,355840000,4420000
"513","CIA",52.49,"M",47.19,"M",6.5,"M",-1.98,13.78,52490000,47190000,6500000
"514","CIB",NA,NA,127.18,"M",1.97,"M",-6.29,1.55,NA,127180000,1970000
"515","CIEN",155.16,"M",153.03,"M",3.33,"M",-16.07,2.18,155160000,153030000,3330000
"516","CIG",1.01,"B",1.01,"B",8.88,"M",-23.63,0.88,1.01e+09,1.01e+09,8880000
"517","CIG.C",507.67,"M",NA,NA,30041,NA,-11.24,NA,507670000,NA,30041
"518","CIM",230.56,"M",225.34,"M",3.05,"M",-17.24,1.36,230560000,225340000,3050000
"519","CIM.PRA",NA,NA,NA,NA,16444,NA,93.92,NA,NA,NA,16444
"520","CIM.PRB",NA,NA,NA,NA,203453,NA,-2.3,NA,NA,NA,203453
"521","CIM.PRC",NA,NA,NA,NA,547773,NA,0.79,NA,NA,NA,547773
"522","CIM.PRD",NA,NA,NA,NA,379328,NA,-0.35,NA,NA,NA,379328
"523","CINR",19.77,"M",5.1,"M",2961,NA,125.17,0.06,19770000,5100000,2961
"524","CIO",43.4,"M",42.12,"M",606257,NA,27.37,1.44,43400000,42120000,606257
"525","CIO.PRA",NA,NA,NA,NA,801,NA,-41.91,NA,NA,NA,801
"526","CIR",20,"M",19.75,"M",346119,NA,-6.99,1.75,2e+07,19750000,346119
"527","CIT",98.71,"M",97.33,"M",3.51,"M",-14.36,3.61,98710000,97330000,3510000
"528","CIT.PRB",8,"M",NA,NA,27071,NA,27.38,NA,8e+06,NA,27071
"529","CIXX",210.36,"M",189.14,"M",2.53,"M",34.78,1.34,210360000,189140000,2530000
"530","CKH",20.37,"M",19.23,"M",799439,NA,33.9,4.16,20370000,19230000,799439
"531","CL",848.56,"M",846.29,"M",6.98,"M",-19.3,0.83,848560000,846290000,6980000
"532","CLA",20,"M",NA,NA,261271,NA,-44.21,NA,2e+07,NA,261271
"533","CLB",44.57,"M",44.02,"M",5.07,"M",-7.06,11.51,44570000,44020000,5070000
"534","CLDR",312.57,"M",299.05,"M",17.76,"M",-4.29,5.94,312570000,299050000,17760000
"535","CLDT",46.97,"M",45.5,"M",1.57,"M",-7.59,3.45,46970000,45500000,1570000
"536","CLF",498.84,"M",439.44,"M",50.68,"M",-1.63,11.53,498840000,439440000,50680000
"537","CLGX",73.15,"M",71.75,"M",2.93,"M",9.12,4.09,73150000,71750000,2930000
"538","CLH",54.8,"M",50.99,"M",670616,NA,-8.55,1.32,54800000,50990000,670616
"539","CLI",90.71,"M",84.81,"M",7.75,"M",2.77,9.14,90710000,84810000,7750000
"540","CLII",23,"M",NA,NA,569069,NA,73.46,NA,2.3e+07,NA,569069
"541","CLNC",128.56,"M",82,"M",969386,NA,0.19,1.18,128560000,8.2e+07,969386
"542","CLNY",481.63,"M",471.35,"M",64.17,"M",-2.48,13.61,481630000,471350000,64170000
"543","CLNY.PRG",NA,NA,NA,NA,23691,NA,23.86,NA,NA,NA,23691
"544","CLNY.PRH",NA,NA,NA,NA,4263,NA,-38.01,NA,NA,NA,4263
"545","CLNY.PRI",NA,NA,NA,NA,24895,NA,-16.55,NA,NA,NA,24895
"546","CLNY.PRJ",NA,NA,NA,NA,26090,NA,113.92,NA,NA,NA,26090
"547","CLPR",16.06,"M",13.21,"M",354621,NA,-4.52,2.69,16060000,13210000,354621
"548","CLR",365.19,"M",62.3,"M",15.28,"M",-7.92,24.52,365190000,62300000,15280000
"549","CLS",110.45,"M",108.16,"M",818249,NA,3.71,0.76,110450000,108160000,818249
"550","CLW",16.57,"M",15.96,"M",567378,NA,-5.59,3.55,16570000,15960000,567378
"551","CLX",125.79,"M",125.41,"M",10.04,"M",-6.21,8,125790000,125410000,10040000
"552","CM",447.08,"M",446.81,"M",4.15,"M",-6.44,0.93,447080000,446810000,4150000
"553","CMA",139.17,"M",137.6,"M",2.68,"M",-0.91,1.95,139170000,137600000,2680000
"554","CMC",120.07,"M",117.29,"M",3.44,"M",4.52,2.93,120070000,117290000,3440000
"555","CMCM",NA,NA,43.36,"M",809380,NA,59.55,1.87,NA,43360000,809380
"556","CMD",42.27,"M",31.62,"M",1.57,"M",-4.61,4.98,42270000,31620000,1570000
"557","CMG",28.14,"M",27.65,"M",782104,NA,11.03,2.83,28140000,27650000,782104
"558","CMI",148.01,"M",145.28,"M",2.76,"M",0.89,1.9,148010000,145280000,2760000
"559","CMO",96.78,"M",94.39,"M",3.52,"M",-14.66,3.73,96780000,94390000,3520000
"560","CMO.PRE",NA,NA,NA,NA,15256,NA,-17.19,NA,NA,NA,15256
"561","CMP",33.94,"M",33.72,"M",1.04,"M",-3.25,3.08,33940000,33720000,1040000
"562","CMRE",121.49,"M",51.3,"M",1.48,"M",16.51,2.89,121490000,51300000,1480000
"563","CMRE.PRB",1.97,"M",NA,NA,9199,NA,-10.52,NA,1970000,NA,9199
"564","CMRE.PRC",3.97,"M",NA,NA,4894,NA,107.2,NA,3970000,NA,4894
"565","CMRE.PRD",3.99,"M",NA,NA,7308,NA,337.08,NA,3990000,NA,7308
"566","CMRE.PRE",4.57,"M",NA,NA,6203,NA,-53.01,NA,4570000,NA,6203
"567","CMS",288.94,"M",287.31,"M",3.45,"M",-8.37,1.2,288940000,287310000,3450000
"568","CMS.PRB",NA,NA,NA,NA,379,NA,-31.22,NA,NA,NA,379
"569","CMSA",NA,NA,NA,NA,5945,NA,36.89,NA,NA,NA,5945
"570","CMSC",NA,NA,NA,NA,148344,NA,12.63,NA,NA,NA,148344
"571","CMSD",NA,NA,NA,NA,7271,NA,-12.78,NA,NA,NA,7271
"572","CNA",271.39,"M",27.11,"M",502156,NA,-7.94,1.85,271390000,27110000,502156
"573","CNC",581.48,"M",567.74,"M",8.69,"M",2.47,1.53,581480000,567740000,8690000
"574","CND",28.35,"M",NA,NA,12188,NA,NA,NA,28350000,NA,12188
"575","CND.U",27.6,"M",NA,NA,136598,NA,1770.95,NA,27600000,NA,136598
"576","CNF",NA,NA,NA,NA,3087,NA,-43.09,NA,NA,NA,3087
"577","CNHI",1.35,"B",983.52,"M",4.14,"M",-5.49,0.42,1.35e+09,983520000,4140000
"578","CNI",710.3,"M",709.14,"M",2.33,"M",80.28,0.33,710300000,709140000,2330000
"579","CNK",117.59,"M",104.84,"M",22.47,"M",0.2,21.43,117590000,104840000,22470000
"580","CNMD",28.6,"M",28.6,"M",1.4,"M",-3.46,4.89,28600000,28600000,1400000
"581","CNNE",91.66,"M",85.9,"M",1.21,"M",-20.05,1.41,91660000,85900000,1210000
"582","CNO",134.64,"M",133.23,"M",3.33,"M",-1.68,2.5,134640000,133230000,3330000
"583","CNO.PRA",6,"M",NA,NA,19962,NA,-0.22,NA,6e+06,NA,19962
