"","Ticker","SharesOutstanding","SO_Units","PublicFloat","PF_Units","SharesSoldShort","SSS_Units","ChangefromLast","PercentofFloat","Shares_Outstanding","Public_Float","Shares_Sold_Short"
"114","ALEX",72.35,"M",71.26,"M",870816,NA,-5.88,1.22,72350000,71260000,870816
"115","ALG",11.88,"M",11.52,"M",181051,NA,-1.07,1.57,11880000,11520000,181051
"116","ALIN.PRA",NA,NA,NA,NA,3043,NA,-85.75,NA,NA,NA,3043
"117","ALIN.PRB",NA,NA,NA,NA,2288,NA,-37.93,NA,NA,NA,2288
"118","ALIN.PRE",NA,NA,NA,NA,11711,NA,-22.27,NA,NA,NA,11711
"119","ALK",124.22,"M",123.62,"M",3.23,"M",-41.38,2.61,124220000,123620000,3230000
"120","ALL",314.12,"M",302.54,"M",3.45,"M",-6.89,1.14,314120000,302540000,3450000
"121","ALL.PRB",NA,NA,NA,NA,100228,NA,97.62,NA,NA,NA,100228
"122","ALL.PRG",NA,NA,NA,NA,45478,NA,-24.76,NA,NA,NA,45478
"123","ALL.PRH",NA,NA,NA,NA,93644,NA,18.61,NA,NA,NA,93644
"124","ALL.PRI",NA,NA,NA,NA,4531,NA,40.45,NA,NA,NA,4531
"125","ALLE",92.04,"M",91.58,"M",2.82,"M",-5.52,3.08,92040000,91580000,2820000
"126","ALLY",374.67,"M",372.64,"M",7.22,"M",-15.96,1.94,374670000,372640000,7220000
"127","ALLY.PRA",NA,NA,NA,NA,47158,NA,-23.45,NA,NA,NA,47158
"128","ALP.PRQ",NA,NA,NA,NA,15989,NA,-59.54,NA,NA,NA,15989
"129","ALSN",112.67,"M",111.91,"M",2.72,"M",-3.67,2.43,112670000,111910000,2720000
"130","ALTG",30.02,"M",22.08,"M",1.01,"M",-0.92,4.59,30020000,22080000,1010000
"131","ALTG.PRA",1.2,"M",NA,NA,3083,NA,NA,NA,1200000,NA,3083
"132","ALUS",28.75,"M",28.65,"M",4033,NA,-11.38,0.01,28750000,28650000,4033
"133","ALV",87.4,"M",87.25,"M",1.25,"M",24.36,1.43,87400000,87250000,1250000
"134","ALX",5.11,"M",2.12,"M",85742,NA,17.43,4.05,5110000,2120000,85742
"135","AM",476.64,"M",305.45,"M",11.61,"M",-10.27,3.8,476640000,305450000,11610000
"136","AMBC",45.81,"M",45.3,"M",3.66,"M",-3.33,8.07,45810000,45300000,3660000
"137","AMC",287.28,"M",56.57,"M",44.67,"M",14.56,78.97,287280000,56570000,44670000
"138","AMCR",1.57,"B",1.57,"B",24.96,"M",-5.57,1.59,1.57e+09,1.57e+09,24960000
"139","AME",230.06,"M",228.98,"M",1.71,"M",16.3,0.75,230060000,228980000,1710000
"140","AMG",45.36,"M",44.65,"M",2.16,"M",-0.72,4.84,45360000,44650000,2160000
"141","AMH",315.63,"M",269.89,"M",5.09,"M",0.58,1.89,315630000,269890000,5090000
"142","AMH.PRD",NA,NA,NA,NA,2813,NA,-5.73,NA,NA,NA,2813
"143","AMH.PRE",NA,NA,NA,NA,3051,NA,40.66,NA,NA,NA,3051
"144","AMH.PRF",NA,NA,NA,NA,2229,NA,-6.62,NA,NA,NA,2229
"145","AMH.PRG",NA,NA,NA,NA,7370,NA,-30.99,NA,NA,NA,7370
"146","AMH.PRH",NA,NA,NA,NA,10539,NA,-15.52,NA,NA,NA,10539
"147","AMK",72.45,"M",17.52,"M",518172,NA,-11.1,2.96,72450000,17520000,518172
"148","AMN",47.03,"M",46.65,"M",1.33,"M",11.86,2.85,47030000,46650000,1330000
"149","AMOV",26,"M",NA,NA,670,NA,40.17,NA,2.6e+07,NA,670
"150","AMP",117.98,"M",117.55,"M",1.94,"M",-1.55,1.65,117980000,117550000,1940000
"151","AMPY",37.66,"M",37.01,"M",2.07,"M",-2.49,5.6,37660000,37010000,2070000
"152","AMRC",29.87,"M",24.22,"M",1.65,"M",21.59,6.8,29870000,24220000,1650000
"153","AMRX",147.63,"M",94.62,"M",6.09,"M",19.38,6.44,147630000,94620000,6090000
"154","AMT",444.21,"M",442.82,"M",3.93,"M",-16.43,0.89,444210000,442820000,3930000
"155","AMWL",199.89,"M",160.79,"M",26.88,"M",14.13,16.72,199890000,160790000,26880000
"156","AMX",2.29,"B",2.29,"B",5.37,"M",-4.76,0.24,2.29e+09,2.29e+09,5370000
"157","AN",87.87,"M",77.59,"M",3.2,"M",4.88,4.12,87870000,77590000,3200000
"158","ANET",75.66,"M",54.63,"M",2.58,"M",3.94,4.73,75660000,54630000,2580000
"159","ANF",62.39,"M",60.93,"M",5.52,"M",-7.71,9.07,62390000,60930000,5520000
"160","ANH",99.13,"M",97.33,"M",791820,NA,-72.21,0.81,99130000,97330000,791820
