"","Ticker","Short_Interest_Jan","Short_Interest_Feb"
"71","GPRE",19.9642963403749,21.1544183278786
"72","INO",27.9581151832461,21.1256557336863
"73","NKLA",35.711376595167,21.1129404017122
"74","TXMD",24.8177650860449,21.1053671003717
"75","COWN",21.3790289677683,21.0590631364562
"76","FUV",23.3902249806051,21.0339384372534
"77","BGS",36.8882512354535,21.0266220309262
"78","PRTS",37.5101050929669,20.9646995419025
"79","EBIX",28.9546351084813,20.9072978303748
"80","DMS",7.77588050314465,20.7772
"81","FLGT",29.7627606038821,20.7764198418404
"82","KNDI",23.6310243565383,20.746242874417
"83","GEO",23.7936344969199,20.5766598220397
"84","PETS",32.4615384615385,20.3675344563553
"85","PHAS",15.4893065456902,20.2851587815943
"86","MAXN",19.9411331861663,20.1618837380427
"87","MSTR",19.6132596685083,20.1051248357424
"88","SABR",20.6852621697734,19.9947862356621
"89","KERN",11.5902964959569,19.9451679232351
"90","VYNE",5.65101420507413,19.7424892703863
"91","AEYE",5.05958525345622,19.595303030303
"92","PBF",16.7718191377497,19.5771091941931
"93","ARTL",7.76556776556777,19.545767377839
"94","AWH",22.9934082977898,19.541504899242
"95","KALA",18.5485547930963,19.482686691698
"96","BAND",21.5686274509804,19.4792671166827
"97","PLCE",37.5091041514931,19.4160583941606
"98","CPE",18.7143597719025,19.4091733609743
"99","KLDO",26.5822784810127,19.3956430077301
"100","CHRS",22.3770005927682,19.3806489850348
"101","INSG",24.669874091514,19.2076586210408
"102","AKBA",20.5592809245256,19.1636363636364
"103","RVLV",28.6609240407204,19.1464369616288
"104","GBT",18.5533036744109,19.0712278962155
"105","VITL",21.7545939537641,18.854415274463
"106","IPOE",NA,18.8316582914573
"107","CODX",22.5490196078431,18.815987933635
"108","GTHX",21.7610970768676,18.6628530568466
"109","TLRY",25.1169248757673,18.6481755756025
"110","FLXN",20.6435531384546,18.6432961529706
"111","XSPA",9.36490850376749,18.6174222030796
"112","VIAC",22.3964682847538,18.6144467023832
"113","CRDF",18.1170641065345,18.5995623632385
"114","ELY",18.2950744030453,18.4889505958579
"115","BIGC",44.6297803091945,18.4354154032747
"116","SBE",17.8287169691181,18.4336198662846
"117","HJLI",25.8015918708403,18.3727119376872
"118","IEA",15.7680569684639,18.3425972713492
"119","SCVL",25.9001161440186,18.3186951066499
"120","SOLY",21.0735586481113,18.2902584493042
"121","GTT",20.7695984703633,18.236137667304
"122","SRG",38.6927341698278,18.0332652465713
"123","LGND",64.8736228127025,17.9319371727749
"124","VBIV",20.2874892304902,17.9249988663674
"125","SNOW",19.9140708915145,17.9245283018868
"126","TWNK",15.3723742838956,17.9119917243574
"127","STOK",18.6385737439222,17.9064824654623
"128","JWN",25.1533180778032,17.8306636155606
"129","CBAT",13.946587537092,17.8276940574353
"130","WWE",15.0423268938572,17.7415852334419
"131","KDMN",17.0981008830289,17.7340199939412
"132","LOVE",23.6749116607774,17.6771989752348
"133","DKS",20.9328063241107,17.6758893280632
"134","CRTX",23.4413965087282,17.6508760545101
"135","MWK",19.811320754717,17.6414189837009
"136","RCON",8.42476470588235,17.5823121387283
"137","TVTY",18.265503875969,17.562984496124
"138","PEI",16.7684789248626,17.4834222869157
"139","GES",20.3811540497618,17.4017003188098
"140","W",18.2314881380302,17.2469755089997
"141","BKYI",7.86777777777778,17.2111111111111
"142","CEMI",21.6013824884793,17.1926006528836
"143","RGS",23.5046588518185,17.1814092953523
"144","WKHS",30.7804788886858,17.1495834842448
"145","HIBB",20.4907975460123,17.0552147239264
"146","LPSN",20.0747724317295,17.0541375386116
"147","KODK",19.5954265611258,16.9920844327177
"148","ATNF",11.1736397058824,16.9547058823529
"149","SRAX",7.74962742175857,16.9150521609538
"150","ZIOP",16.2129883055486,16.9057581191472
"151","ZGNX",16.0981006822792,16.8860055607044
"152","CNST",15.2360515021459,16.8853893263342
"153","IQ",13.0402361348454,16.8241965973535
"154","NTLA",19.5630184098725,16.7611969489536
"155","LTHM",18.3141339587501,16.758658755347
"156","MDLY",9.93277918323094,16.7132445346196
"157","ABNB",11.2624217887376,16.6547226601691
"158","BCRX",17.771015158475,16.6024276592073
"159","SPKE",18.9282627484875,16.5946413137424
"160","WRAP",17.7917068466731,16.5380906460945
"161","SIRI",18.3953703703704,16.5352380952381
"162","NLS",20.777027027027,16.5032127155901
"163","LAZR",31.3554392088424,16.4992389649924
"164","EGHT",19.5605884630275,16.4716039907905
"165","PLAY",22.9269438571764,16.4389410760034
"166","HCAT",17.6523566496548,16.4004563605248
